, Brand , Model Name , Screen Size , Colour , Hard Disk Size , CPU Model , RAM Memory Installed Size , Operating System , Special Feature , Graphics Card Description ,Price, Graphics Coprocessor , CPU Speed , Hard Disk Description , Item Weight , Connectivity Technology , Graphics Processor Manufacturer , Resolution , Total USB Ports , Processor Count , CPU Manufacturer , Human Interface Input , Form Factor 
0, Dell , Vostro , 14 Inches , Carbon black , 256 GB , Core i3 , 8 GB , Windows 11 Home , Thin , Integrated ,"₹36,990.00",,,,,,,,,,,,
1, ASUS , Vivobook 14 2022 , 14 Inches , Transparent Silver , 512 GB , Core i3 , 8 GB , Windows 11 Home , Anti Glare Coating , Integrated ,"₹34,990.00",,,,,,,,,,,,
2, HP , 15s-fq5190TU , 39.6 Centimetres , Natural Silver , 512 GB , Core i7 , 16 GB , Windows 11 Home ," FHD, UWVA, Micro-Edge Display, Anti-Glare, Numeric Keypad ", Integrated ,"₹69,990.00",,,,,,,,,,,,
3, HP , 15s-fq3071TU , 39.6 Centimetres , Natural Silver , 512 GB , Celeron , 8 GB , Windows 11 Home ," Brightview, HD, Micro-Edge Display, Numeric Keypad ", Integrated ,"₹30,490.00",,,,,,,,,,,,
4, HP , HP Chromebook , 13.3 Inches ,, 32 GB , Core M Family , 8 GB , Chrome OS , Webcam , Integrated ,"₹15,999.00", Intel HD Graphics 515 ,,,,,,,,,,,
5, HP , 15s-fr4001TU , 39.6 Centimetres , Silver , 512 GB , Core i5 , 16 GB , Windows 11 Home ," FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare, Numeric Keypad ", Integrated ,"₹55,990.00",,,,,,,,,,,,
6, Dell , Vostro 3420 , 14 Inches , Black , 512 GB , Core i5 , 8 GB , Windows 11 Home ,, Integrated ,"₹49,990.00", INTEGRATED ,,,,,,,,,,,
7, Honor , NMH-WFQ9HN , 14 Inches , Gray , 512 GB , AMD Ryzen 5 5500U , 16 GB , Windows 11 Home ," Backlit Keyboard, Anti Glare Screen, Fingerprint Reader, Light Weight ", Integrated ,"₹40,990.00",,,,,,,,,,,,
8, Acer , Extensa , 15.6 Inches , Silver , 256 GB , Core i3 , 8 GB , Windows 11 Home ," Webcam, Thin ", Integrated ,"₹31,990.00",,,,,,,,,,,,
9, Lenovo , Lenovo V15 G2 IJL , 15.6 Inches , Black , 256 GB , Celeron , 8 GB , DOS , Thin , Integrated ,"₹21,990.00",,,,,,,,,,,,
10, Lenovo , Lenovo E41-55 , 14 Inches , Grey , 256 GB , Athlon Silver 3050U , 4 GB , DOS , Full Size Keyboard , Integrated ,"₹17,990.00",,,,,,,,,,,,
11, Honor , BMH-WFQ9HN , 15.6 Inches , Mystic Silver , 512 GB , AMD Ryzen 5 5500U , 16 GB , Windows 11 Home ," Fingerprint Reader, High Definition Audio, TrackPoint, Anti Glare Coating ", Integrated ,"₹40,990.00",,,,,,,,,,,,
12, Dell , Vostro 3425 , 14 Inches , Carbon Black , 512 GB , Ryzen 5 , 8 GB , Windows 11 Home , Thin , Integrated ,"₹47,990.00",,,,,,,,,,,,
13, Dell , 3380-cr , 13.3 Inches , Grey , 512 GB , Core i5 Family , 8 GB , Windows 10 Pro , Thin , Integrated ,"₹18,999.00",,,,,,,,,,,,
14, ASUS , VivoBook 15 (2021) , 15.6 Inches , Transparent Silver , 512 GB , Celeron N4020 , 4 GB , Windows 11 Home ," Fingerprint Reader, Backlit Keyboard, Anti Glare Coating ", Integrated ,"₹24,990.00",,,,,,,,,,,,
15, Acer , Acer one 14 , 14 Inches , Silver ,, Core i5 , 16 GB , Windows 11 Home ," Anti Glare Screen, Webcam, Memory Card Slot ", Integrated ,"₹44,990.00", Intel Iris Xe Graphics ,,,,,,,,,,,
16, Dell , Latitude Hybrid , 14.1 Inches , Silver , 500 GB , Core i5 , 128 GB , Windows 10 Pro ,, Integrated ,"₹20,404.00", Intel ,,,,,,,,,,,
17, ASUS , Vivobook Go 14 (2023) , 14 Inches , Mixed Black , 512 GB , Ryzen 3 , 8 GB , Windows 11 Home , Anti Glare Coating , Integrated ,"₹36,990.00",,,,,,,,,,,,
18, Lenovo , Lenovo E41-55 , 14 Inches , Grey , 256 GB , Athlon Silver 3050U , 4 GB , Windows 10 Home ," Portable, Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹19,790.00",,,,,,,,,,,,
19, Honor , NMH-WDQ9HN , 14 Inches , Gray , 512 GB , AMD Ryzen 5 5500U , 8 GB , Windows 11 Home ," Backlit Keyboard, Anti Glare Coating, Fingerprint Reader, Light Weight ", Integrated ,"₹37,990.00",,,,,,,,,,,,
20, Lenovo , E41-55 , 14 Inches , Grey , 256 GB , Athlon Silver 3050U , 8 GB , DOS , Anti Glare Screen , Integrated ,"₹19,890.00",,,,,,,,,,,,
21, Lenovo , Lenovo Thinkpad L450-cr , 14 Inches ,, 256 GB , Intel Core i5 , 8 GB , Windows 11 ," Webcam, Light Weight, Thin ", Integrated ,"₹17,399.00", Intel HD Graphics 520 ,,,,,,,,,,,
22, Dell , 3180 , 11.6 Inches ,, 128 GB , Pentium N4200 , 4 GB , Windows 10 Pro ," Portable, Light Weight ", Dedicated ,"₹12,925.00",, 1.1 GHz ,,,,,,,,,,
23, HP , HP 14s , 14 Inches , Natural Silver , 512 GB , Ryzen 3 , 8 GB , Windows 11 Home ," Micro Edge Display, Backlit Keyboard, Dual Speaker, Multi Touch Gesture, Built in Alexa ", Integrated ,"₹39,250.00",,,,,,,,,,,,
24, HP , HP ZHAN 99 Mobile Workstation G4 , 15.6 Inches , Natural Silver , 512 GB , Ryzen 5 , 8 GB , Windows 11 Home ," Micro-edge, Anti-glare Display, HD ", Integrated ,"₹34,990.00",,,,,,,,,,,,
